player id,team id,player,team,posicion,Edad,appearances,minutesPlayed,rating,goals,assists,goalsAssistsSum,penaltyGoals,expectedGoals,expectedAssists,totalShots,shotsOnTarget,shotsOffTarget,bigChancesCreated,keyPasses,totalPasses,accuratePassesPercentage,successfulDribbles,tackles,interceptions,ballRecovery,clearances,blockedShots,totalDuelsWon,duelLost,wasFouled,fouls,yellowCards,redCards,ownGoals,goals_per90,assists_per90,goalsAssistsSum_per90,expectedGoals_per90,expectedAssists_per90,totalShots_per90,shotsOnTarget_per90,keyPasses_per90,successfulDribbles_per90,tackles_per90,interceptions_per90,ballRecovery_per90,totalDuelsWon_per90,wasFouled_per90,fouls_per90,yellowCards_per90,redCards_per90
941532,52215,Alejandro Medina,Defensores de Belgrano,Portero,39,26,2332.0,7.01,0,0,0.0,0,,,0.0,0.0,,,0.0,419.0,82.1,1.0,,,116.0,8.0,0.0,20.0,6.0,4.0,0.0,1,1,2.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.04,,,4.48,0.77,0.15,0.0,0.04,0.04
1182501,6074,Nahuel Brunet,Godoy Cruz,Defensor,26,17,1462.0,7.01,1,2,3.0,0,,,14.0,4.0,,,4.0,803.0,76.84,3.0,,,211.0,60.0,3.0,131.0,86.0,17.0,17.0,8,0,0.0,0.06,0.12,0.18,,,0.86,0.25,0.25,0.18,,,12.99,8.06,1.05,1.05,0.49,0.0
1468709,265787,Rodrigo Mosqueira,Agropecuario Argentino,Mediocampista,31,27,1937.0,7.01,1,3,4.0,0,,,54.0,18.0,,,28.0,662.0,66.62,44.0,,,150.0,17.0,2.0,215.0,259.0,39.0,27.0,2,0,0.0,0.05,0.14,0.19,,,2.51,0.84,1.3,2.04,,,6.97,9.99,1.81,1.25,0.09,0.0
933172,52215,Juan De Tomasso,Defensores de Belgrano,Mediocampista,33,23,2001.0,7.01,0,1,0.0,0,,,8.0,4.0,,,2.0,837.0,83.99,2.0,,,283.0,83.0,14.0,204.0,119.0,20.0,23.0,3,1,0.0,0.0,0.04,0.0,,,0.36,0.18,0.09,0.09,,,12.73,9.18,0.9,1.03,0.13,0.04
129719,340432,Nahuel Yeri,Ciudad de Bolivar,Mediocampista,35,24,2090.0,7.01,1,2,3.0,0,,,18.0,4.0,,,24.0,938.0,75.91,15.0,,,276.0,41.0,5.0,201.0,237.0,15.0,35.0,6,1,0.0,0.04,0.09,0.13,,,0.78,0.17,1.03,0.65,,,11.89,8.66,0.65,1.51,0.26,0.04
1627955,93107,Federico Sena,Estudiantes de Buenos Aires,Mediocampista,29,26,2055.0,7.01,1,0,1.0,0,,,27.0,8.0,,,20.0,922.0,79.18,9.0,,,217.0,18.0,10.0,164.0,163.0,24.0,33.0,6,0,0.0,0.04,0.0,0.04,,,1.18,0.35,0.88,0.39,,,9.5,7.18,1.05,1.45,0.26,0.0
250933,43740,Leonardo Jara,Almirante Brown,Mediocampista,35,18,1150.0,7.01,0,2,2.0,0,,,7.0,0.0,,,8.0,503.0,74.16,8.0,,,179.0,34.0,4.0,125.0,90.0,16.0,11.0,2,0,0.0,0.0,0.16,0.16,,,0.55,0.0,0.63,0.63,,,14.01,9.78,1.25,0.86,0.16,0.0
2045245,252726,Agustín Ojeda,Chaco For Ever,Defensor,25,19,1368.0,7.01,1,1,2.0,0,,,13.0,2.0,,,15.0,481.0,64.45,12.0,,,187.0,32.0,3.0,173.0,164.0,23.0,22.0,3,1,0.0,0.07,0.07,0.13,,,0.86,0.13,0.99,0.79,,,12.3,11.38,1.51,1.45,0.2,0.07
789368,265787,Fernando Gonzalez,Agropecuario Argentino,Defensor,37,19,1672.0,7.01,2,0,2.0,0,,,6.0,3.0,,,4.0,697.0,76.04,4.0,,,246.0,48.0,5.0,96.0,78.0,10.0,11.0,3,0,0.0,0.11,0.0,0.11,,,0.32,0.16,0.22,0.22,,,13.24,5.17,0.54,0.59,0.16,0.0
1876773,34976,Agustin Solveyra,Atlético de Rafaela,Defensor,25,20,1535.0,7.01,1,1,2.0,0,,,5.0,2.0,,,8.0,452.0,72.12,10.0,,,181.0,63.0,5.0,172.0,113.0,23.0,19.0,4,0,0.0,0.06,0.06,0.12,,,0.29,0.12,0.47,0.59,,,10.61,10.08,1.35,1.11,0.23,0.0
